group,opponent,baseline_wins,candidate_wins,delta_wins,shared_games,baseline_rate,candidate_rate,delta_rate
fixed,B0 RandomLegal,512,512,0,512,1.0,1.0,0.0
fixed,B1 NoLeague baseline,322,455,133,512,0.62890625,0.888671875,0.259765625
fixed,B2 HeuristicPublic,399,498,99,512,0.779296875,0.97265625,0.193359375
fixed,B3 HeuristicPublicAggro,365,480,115,512,0.712890625,0.9375,0.224609375
fixed,B4 HeuristicPublicControl,382,475,93,512,0.74609375,0.927734375,0.181640625
learned,seed_c3aac2f9dc_policy_000001,328,454,126,512,0.640625,0.88671875,0.24609375
learned,seed_c3aac2f9dc_policy_000002,299,447,148,512,0.583984375,0.873046875,0.2890625
learned,seed_c3aac2f9dc_checkpoint_000025,289,431,142,512,0.564453125,0.841796875,0.27734375
learned,seed_c3aac2f9dc_main_bestresponse_u25_devbest,289,431,142,512,0.564453125,0.841796875,0.27734375
learned,seed_c3aac2f9dc_main_league_selected,274,424,150,512,0.53515625,0.828125,0.29296875
learned,seed_c3aac2f9dc_policy_000003,274,424,150,512,0.53515625,0.828125,0.29296875
learned,seed_c3aac2f9dc_policy_000004,291,433,142,512,0.568359375,0.845703125,0.27734375
learned,seed_c3aac2f9dc_policy_000005,273,425,152,512,0.533203125,0.830078125,0.296875
